Model,MAE,MSE,R2 Score
Random Forest,2560.400553561824,19640780.629592333,0.8734883020243351
Tuned Tree,2666.82396474882,20332883.75794027,0.8690302744340446
Linear Regression,4181.194473753652,33596915.85136148,0.7835929767120722
Decision Tree,3114.1529092761198,40795333.45408598,0.7372259788399772
